AttributeNameCN,AttributeNameEN,AutoReformedEnName
报告期末投资组合平均剩余期限,mmavgptm,MmAvgPtM
报告期内投资组合平均剩余期限最高值,mmavgptm_max,MmAvgPtMMax
报告期内投资组合平均剩余期限最低值,mmavgptm_min,MmAvgPtMMin
按信用评级的债券投资市值,prt_bondbycreditrating,PrtBondByCreditRating
按信用评级的资产支持证券投资市值,prt_absbycreditrating,PrtAbsByCreditRating
按信用评级的同业存单投资市值,prt_ncdbycreditrating,PrtNcdByCreditRating
按信用评级的债券投资占基金资产净值比,prt_bondbycreditratingtonav,PrtBondByCreditRatingToNav
按信用评级的资产支持证券投资占基金资产净值比,prt_absbycreditratingtonav,PrtAbsByCreditRatingToNav
按信用评级的同业存单投资占基金资产净值比,prt_ncdbycreditratingtonav,PrtNcdByCreditRatingToNav
债券估值(YY),inst_yybondval,InStYyBondVal
债券估值历史(YY),inst_yybondvalhis,InStYyBondValHis
融资融券余额,mrg_bal,MrgBal
融资融券担保股票市值,margin_guaranteedstocksmarketvalue,MarginGuaranteedStocksMarketValue
是否融资融券标的,marginornot,MarginOrNot
区间融资融券余额均值,mrg_bal_int_avg,MrgBalIntAvg
利息收入:融资融券业务,stmnote_sec_1511,StmNoteSec1511
利息净收入:融资融券业务,stmnote_sec_1531,StmNoteSec1531
涨跌_期货历史同月,His_change,HisChange
振幅_期货历史同月,His_swing,HisSwing
收盘价_期货历史同月,His_close,HisClose
开盘价_期货历史同月,His_open,HisOpen
最高价_期货历史同月,His_high,HisHigh
最低价_期货历史同月,His_low,HisLow
结算价_期货历史同月,His_settle,HisSettle
涨跌幅_期货历史同月,His_pctchange,HisPctChange
成交量_期货历史同月,His_volume,HisVolume
成交额_期货历史同月,His_turnover,HisTurnover
持仓量_期货历史同月,His_oi,HisOi
前结算价_期货历史同月,His_preSettle,HisPreSettle
成交均价_期货历史同月,His_avgprice,HisAvgPrice
持仓变化_期货历史同月,His_oichange,HisOiChange
收盘价(夜盘)_期货历史同月,His_close_night,HisCloseNight
涨跌(结算价)_期货历史同月,His_change_settlement,HisChangeSettlement
涨跌幅(结算价)_期货历史同月,His_pctchange_settlement,HisPctChangeSettlement
业绩预告摘要,profitnotice_abstract,ProfitNoticeAbstract
业绩预告变动原因,profitnotice_reason,ProfitNoticeReason
业绩预告类型,profitnotice_style,ProfitNoticeStyle
业绩预告最新披露日期,profitnotice_date,ProfitNoticeDate
业绩预告首次披露日期,profitnotice_firstdate,ProfitNoticeFirstDate
最新业绩预告报告期,profitnotice_lastrptdate,ProfitNoticeLastRpTDate
单季度.业绩预告摘要(海外),qprofitnotice_abstract,QProfitNoticeAbstract
单季度.业绩预告类型(海外),qprofitnotice_style,QProfitNoticeStyle
单季度.业绩预告日期(海外),qprofitnotice_date,QProfitNoticeDate
业绩快报最新披露日期,performanceexpress_lastdate,PerformanceExpressLastDate
业绩快报首次披露日期,performanceexpress_date,PerformanceExpressDate
业绩快报.营业收入,performanceexpress_perfexincome,PerformanceExpressPerFExIncome
业绩快报.营业利润,performanceexpress_perfexprofit,PerformanceExpressPerFExprOfIt
业绩快报.利润总额,performanceexpress_perfextotalprofit,PerformanceExpressPerFExTotalProfit
业绩快报.归属母公司股东的净利润,performanceexpress_perfexnetprofittoshareholder,PerformanceExpressPerFExNetProfitToShareholder
业绩快报.归属于上市公司股东的扣除非经常性损益的净利润,performanceexpress_npdedtoshareholder,PerformanceExpressNpdEdToShareholder
业绩快报.每股收益EPS-基本,performanceexpress_perfexepsdiluted,PerformanceExpressPerFExEpsDiluted
业绩快报.净资产收益率ROE-加权,performanceexpress_perfexroediluted,PerformanceExpressPerFExRoeDiluted
业绩快报.总资产,performanceexpress_perfextotalassets,PerformanceExpressPerFExTotalAssets
业绩快报.净资产,performanceexpress_perfexnetassets,PerformanceExpressPerFExNetAssets
业绩快报.同比增长率:营业收入,performanceexpress_or_yoy,PerformanceExpressOrYoY
业绩快报.同比增长率:营业利润,performanceexpress_op_yoy,PerformanceExpressOpYoY
业绩快报.同比增长率:利润总额,performanceexpress_ebt_yoy,PerformanceExpressEBtYoY
业绩快报.同比增长率:归属母公司股东的净利润,performanceexpress_np_yoy,PerformanceExpressNpYoY
业绩快报.同比增长率:归属于上市公司股东的扣除非经常性损益的净利润,performanceexpress_npded_yoy,PerformanceExpressNpdEdYoY
业绩快报.同比增长率:基本每股收益,performanceexpress_eps_yoy,PerformanceExpressEpsYoY
业绩快报.同比增减:加权平均净资产收益率,performanceexpress_roe_yoy,PerformanceExpressRoeYoY
业绩快报.去年同期营业收入,performanceexpress_income_ya,PerformanceExpressIncomeYa
业绩快报.去年同期营业利润,performanceexpress_profit_ya,PerformanceExpressProfitYa
业绩快报.去年同期利润总额,performanceexpress_totprofit_ya,PerformanceExpressToTProfitYa
业绩快报.去年同期净利润,performanceexpress_netprofit_ya,PerformanceExpressNetProfitYa
业绩快报.上年同期归属于上市公司股东的扣除非经常性损益的净利润,performanceexpress_npded_ya,PerformanceExpressNpdEdYa
业绩快报.去年同期每股收益,performanceexpress_eps_ya,PerformanceExpressEpsYa
业绩快报.每股净资产,performanceexpress_bps,PerformanceExpressBpS
业绩快报.期初净资产,performanceexpress_netassets_b,PerformanceExpressNetAssetsB
业绩快报.期初每股净资产,performanceexpress_bps_b,PerformanceExpressBpSB
